Unique ID,Primary Data Element,Message ID,Message Text,Rule Logic,Severity,Property Affected,Report Section,Report Subsection,Report Label / Value,Data Point Name / Value, xPath,Related Value(s),Date Format,Number Format,Min Value,Max Value
0600.0006,SalesConcessionIndicator,UAD1128,Indicate the presence of sales concessions in the sales contract.,"If SalesContractReviewedIndicator = ""true"" and SalesConcessionIndicator is not provided",Fatal,Subject,Sales Contract,Financial Sales Concessions,Known Sales Concessions,SalesConcessionIndicator,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/SALES_CONTRACTS/SALES_CONTRACT/SALES_CONTRACT_DETAIL/,,,,,
0600.0008,SalesContractAmount,UAD1129,Provide the 'Contract Price'.,"If SalesContractReviewedIndicator = ""true"" and SalesContractAmount is not provided",Fatal,Subject,Sales Contract,{No Subsection},Contract Price,SalesContractAmount,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/SALES_CONTRACTS/SALES_CONTRACT/SALES_CONTRACT_DETAIL/,,,,,
0600.0009,SalesContractDate,UAD1130,Provide the date the sales contract was fully executed.,"If SalesContractReviewedIndicator = ""true"" and SalesContractDate is not provided",Fatal,Subject,Sales Contract,{No Subsection},Contract Date,SalesContractDate,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/SALES_CONTRACTS/SALES_CONTRACT/SALES_CONTRACT_DETAIL/,,,,,
0600.0009,SalesContractDate,UAD1131,The 'Contract Date' cannot be after the 'Effective Date of Appraisal'.,If SalesContractDate > AppraisalReportEffectiveDate,Warning,Subject,Sales Contract,{No Subsection},Contract Date (%PV%),SalesContractDate (%PV%),../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/SALES_CONTRACTS/SALES_CONTRACT/SALES_CONTRACT_DETAIL/,AppraisalReportEffectiveDate (%RV1%),,,,
0600.0010,SalesContractReviewedIndicator,UAD1132,Indicate whether the Appraiser has reviewed and analyzed the sales contract.,"If SalesContractExistsIndicator = ""true"" and SalesContractReviewedIndicator is not provided",Fatal,Subject,Sales Contract,{No Subsection},Was sales contract information analyzed?,SalesContractReviewedIndicator,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/SALES_CONTRACTS/SALES_CONTRACT/SALES_CONTRACT_DETAIL/,,,,,
0600.0011,TotalSalesConcessionAmount,UAD1133,Provide the 'Total Sales Concessions' amount.,"If SalesConcessionAmountKnownIndicator = ""true"" and TotalSalesConcessionAmount is not provided",Fatal,Subject,Sales Contract,Financial Sales Concessions,Total Sales Concessions,TotalSalesConcessionAmount,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/SALES_CONTRACTS/SALES_CONTRACT/SALES_CONTRACT_DETAIL/,,,,,
0600.0016,SalesContractExistsIndicator,UAD1134,Indicate whether there is a sales contract associated with the property.,If SalesContractExistsIndicator is not provided,Fatal,Subject,Sales Contract,{No Subsection},Is there a sales contract?,SalesContractExistsIndicator,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/SALES_CONTRACTS/SALES_CONTRACT/SALES_CONTRACT_DETAIL/,,,,,
0600.0017,SaleType,UAD1135,Provide the 'Transfer Terms'.,"If SalesContractReviewedIndicator = ""true"" and SaleType is not provided",Fatal,Subject,Sales Contract,{No Subsection},Transfer Terms,SaleType,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/SALES_CONTRACTS/SALES_CONTRACT/SALES_CONTRACT_DETAIL/,,,,,
0600.0018,SaleTypeOtherDescription,UAD1136,Provide a description when 'Transfer Terms' = 'Other'.,"If SaleType = ""Other"" and SaleTypeOtherDescription is not provided",Fatal,Subject,Sales Contract,{No Subsection},Transfer Terms,SaleTypeOtherDescription,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/SALES_CONTRACTS/SALES_CONTRACT/SALES_CONTRACT_DETAIL/,,,,,
0700.0005,AccessibilityFeatureType,UAD1138,Provide the type of accessibility feature. Select 'None' if there are no accessibility features.,"If ((ImprovementType = ""Dwelling"" ) or (ImprovementType = ""Outbuilding"" and OutbuildingRealPropertyIndicator = ""true"" and AccessoryDwellingUnitIndicator = ""true"")), and
If (at least one instance of ACCESSIBILITY_FEATURE is not provided or AccessibilityFeatureType is not provided in a given instance of ACCESSIBILITY_FEATURE)",Fatal,Subject,Unit Interior,Accessibility Features for Individuals with Disabilities,Feature,AccessibilityFeatureType,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/IMPROVEMENTS/IMPROVEMENT/PROPERTY_UNITS/PROPERTY_UNIT/ACCESSIBILITY_FEATURES/ACCESSIBILITY_FEATURE/,ImprovementType (%RV1%),,,,
0700.0027,BelowGradeExteriorAccessType,UAD1139,"Provide the primary exterior access method (e.g., walk-out, walk-up) for the below grade area.","If (ImprovementType = ""Dwelling"" and (AccessType = ""ExteriorAccessOnly"" or ""InteriorAndExteriorAccess"")) or (ImprovementType = ""Outbuilding"" and OutbuildingRealPropertyIndicator = ""true"" and AccessoryDwellingUnitIndicator = ""true"" and (AccessType = ""ExteriorAccessOnly"" or ""InteriorAndExteriorAccess"")), and BelowGradeExteriorAccessType is not provided in a given instance of LEVEL",Fatal,Subject,Unit Interior,{No Subsection},Grade Level Detail,BelowGradeExteriorAccessType,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/IMPROVEMENTS/IMPROVEMENT/PROPERTY_UNITS/PROPERTY_UNIT/LEVELS/LEVEL/,LevelType (%RV1%),,,,
0700.0028,BelowGradeExteriorAccessTypeOtherDescription,UAD1140,Provide a description when 'Grade Level' = 'Other'.,"If BelowGradeExteriorAccessType = ""Other"" and BelowGradeExteriorAccessTypeOtherDescription is not provided in a given instance of LEVEL",Fatal,Subject,Unit Interior,{No Subsection},Grade Level Detail,BelowGradeExteriorAccessTypeOtherDescription,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/IMPROVEMENTS/IMPROVEMENT/PROPERTY_UNITS/PROPERTY_UNIT/LEVELS/LEVEL/,,,,,
0700.0029,GradeLevelType,UAD1141,"Provide the Grade Level Type (i.e., Above Grade, Fully Below Grade, Partially Below Grade) for the level.","If (ImprovementType = ""Dwelling"") or (ImprovementType = ""Outbuilding"" and OutbuildingRealPropertyIndicator = ""true"" and AccessoryDwellingUnitIndicator = ""true""), and GradeLevelType is not provided in a given instance of LEVEL",Fatal,Subject,Unit Interior,{No Subsection},Grade Level Detail,GradeLevelType,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/IMPROVEMENTS/IMPROVEMENT/PROPERTY_UNITS/PROPERTY_UNIT/LEVELS/LEVEL/,LevelType (%RV1%),,,,
0700.0030,LevelType,UAD1142,"Provide the level type (e.g., Level 1, Level 2, Level B1).","If (ImprovementType = ""Dwelling"") or (ImprovementType = ""Outbuilding"" and OutbuildingRealPropertyIndicator = ""true"" and AccessoryDwellingUnitIndicator = ""true""), and (at least one instance of LEVEL is not provided or LevelType is not provided in a given instance of LEVEL)",Fatal,Subject,Unit Interior,{No Subsection},Level in Unit,LevelType,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/IMPROVEMENTS/IMPROVEMENT/PROPERTY_UNITS/PROPERTY_UNIT/LEVELS/LEVEL/,ImprovementType (%RV1%),,,,
0700.0035,RoomType,UAD1143,Provide at least one instance of 'Kitchen' for each living unit.,"If (ImprovementType = ""Dwelling"" or (ImprovementType = ""Outbuilding"" and OutbuildingRealPropertyIndicator = ""true"" and AccessoryDwellingUnitIndicator = ""true"")), and (at least one instance of ROOM_DETAIL with RoomType = ""Kitchen"" is not provided)
",Warning,Subject,Unit Interior,{No Subsection}; Quality and Condition,Room Summary; Room,RoomType,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/IMPROVEMENTS/IMPROVEMENT/PROPERTY_UNITS/PROPERTY_UNIT/ROOMS/ROOM/ROOM_DETAIL/,ImprovementType (%RV1%),,,,
0700.0087,RoomTypeOtherDescription,UAD1144,Provide a description when room type = 'Other'.,"If RoomType = ""Other"" and RoomTypeOtherDescription is not provided in a given instance of ROOM_DETAIL",Fatal,Subject,Unit Interior,{No Subsection}; Quality and Condition,Room Summary; Room,RoomTypeOtherDescription,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/IMPROVEMENTS/IMPROVEMENT/PROPERTY_UNITS/PROPERTY_UNIT/ROOMS/ROOM/ROOM_DETAIL/,ImprovementType (%RV1%); LevelType (%RV2%),,,,
0700.0033,RoomConditionStatusType,UAD1145,Provide the 'Condition Status' for the room.,"If (ImprovementType = ""Dwelling"") or (ImprovementType = ""Outbuilding"" and OutbuildingRealPropertyIndicator = ""true"" and AccessoryDwellingUnitIndicator = ""true"") and (RoomType = ""FullBathroom"" or ""HalfBathroom"" or ""Kitchen""), and RoomConditionStatusType is not provided in a given instance of ROOM_DETAIL",Fatal,Subject,Unit Interior,Quality and Condition,Condition Status,RoomConditionStatusType,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/IMPROVEMENTS/IMPROVEMENT/PROPERTY_UNITS/PROPERTY_UNIT/ROOMS/ROOM/ROOM_DETAIL/,ImprovementType (%RV1%); LevelType (%RV2%); RoomType (%RV3%),,,,
0700.0036,RoomUpdateStatusType,UAD1146,Provide the 'Update Status' for the room.,"If (ImprovementType = ""Dwelling"" or (ImprovementType = ""Outbuilding"" and OutbuildingRealPropertyIndicator = ""true"" and AccessoryDwellingUnitIndicator = ""true"")) and RoomType = (""FullBathroom"" or ""HalfBathroom"" or ""Kitchen""), and RoomUpdateStatusType is not provided in a given instance of ROOM_DETAIL",Fatal,Subject,Unit Interior,Quality and Condition,Update Status,RoomUpdateStatusType,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/IMPROVEMENTS/IMPROVEMENT/PROPERTY_UNITS/PROPERTY_UNIT/ROOMS/ROOM/ROOM_DETAIL/,ImprovementType (%RV1%); LevelType (%RV2%); RoomType (%RV3%),,,,
0700.0034,RoomUpdatedTimeframeType,UAD1147,Provide the timeframe in which the room was updated.,"If RoomType = ""FullBathroom"" or ""HalfBathroom"" or ""Kitchen"", and RoomUpdateStatusType = ""FullyUpdated"" or ""PartiallyUpdated"", and RoomUpdatedTimeframeType is not provided in a given instance of ROOM_DETAIL",Fatal,Subject,Unit Interior,Quality and Condition,Time Frame,RoomUpdatedTimeframeType,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/IMPROVEMENTS/IMPROVEMENT/PROPERTY_UNITS/PROPERTY_UNIT/ROOMS/ROOM/ROOM_DETAIL/,RoomType (%RV1%),,,,
0700.0046,ImprovementComponentType,UAD1148,The interior feature type must be included.,"If (ImprovementType = ""Dwelling"") or (ImprovementType = ""Outbuilding"" and OutbuildingRealPropertyIndicator = ""true"" and AccessoryDwellingUnitIndicator = ""true""), and ImprovementComponentType is not provided in a given instance of INTERIOR_COMPONENT_DETAIL",Fatal,Subject,Unit Interior,Quality and Condition,Feature,ImprovementComponentType,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/IMPROVEMENTS/IMPROVEMENT/PROPERTY_UNITS/PROPERTY_UNIT/INTERIOR_COMPONENTS/INTERIOR_COMPONENT/INTERIOR_COMPONENT_DETAIL/,ImprovementType (%RV1%),,,,
0700.0046,ImprovementComponentType,UAD1149,"Provide the flooring details (e.g., material, condition) for the living unit.","If (ImprovementType = ""Dwelling"") or (ImprovementType = ""Outbuilding"" and OutbuildingRealPropertyIndicator = ""true"" and AccessoryDwellingUnitIndicator = ""true""), and ImprovementComponentType = ""Flooring"" is not provided in INTERIOR_COMPONENT_DETAIL for a given instance of PROPERTY_UNIT",Fatal,Subject,"Unit Interior
",Quality and Condition,Feature,ImprovementComponentType,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/IMPROVEMENTS/IMPROVEMENT/PROPERTY_UNITS/PROPERTY_UNIT/INTERIOR_COMPONENTS/INTERIOR_COMPONENT/INTERIOR_COMPONENT_DETAIL/,ImprovementType (%RV1%),,,,
0700.0041,FlooringType,UAD1150,Provide the flooring material(s).,"If ImprovementComponentType = ""Flooring"" and (at least one instance of FLOOR_COVERING is not provided or FlooringType is not provided in a given instance of FLOOR_COVERING)",Fatal,Subject,Unit Interior,Quality and Condition,Detail,FlooringType,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/IMPROVEMENTS/IMPROVEMENT/PROPERTY_UNITS/PROPERTY_UNIT/INTERIOR_COMPONENTS/INTERIOR_COMPONENT/FLOOR_COVERINGS/FLOOR_COVERING/,,,,,
0700.0042,FlooringTypeOtherDescription,UAD1151,Provide a description when flooring material = 'Other'.,"If FlooringType = ""Other"" and FlooringTypeOtherDescription is not provided in a given instance of FLOOR_COVERING",Fatal,Subject,Unit Interior,Quality and Condition,Detail,FlooringTypeOtherDescription,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/IMPROVEMENTS/IMPROVEMENT/PROPERTY_UNITS/PROPERTY_UNIT/INTERIOR_COMPONENTS/INTERIOR_COMPONENT/FLOOR_COVERINGS/FLOOR_COVERING/,,,,,
0700.0046,ImprovementComponentType,UAD1152,"Provide the walls and ceiling details (e.g., style, height) for the living unit.","If (ImprovementType = ""Dwelling"") or (ImprovementType = ""Outbuilding"" and OutbuildingRealPropertyIndicator = ""true"" and AccessoryDwellingUnitIndicator = ""true""), and ImprovementComponentType = ""WallsAndCeiling"" is not provided in INTERIOR_COMPONENT_DETAIL in a given instance of PROPERTY_UNIT",Fatal,Subject,"Unit Interior
",Quality and Condition,Feature,ImprovementComponentType,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/IMPROVEMENTS/IMPROVEMENT/PROPERTY_UNITS/PROPERTY_UNIT/INTERIOR_COMPONENTS/INTERIOR_COMPONENT/INTERIOR_COMPONENT_DETAIL/,ImprovementType (%RV1%),,,,
0700.0047,ImprovementComponentTypeOtherDescription,UAD1153,Provide a description when 'Feature Type' = 'Other'.,"If ImprovementComponentType = ""Other"" and ImprovementComponentTypeOtherDescription is not provided in a given instance of INTERIOR_COMPONENT_DETAIL",Fatal,Subject,Unit Interior,Quality and Condition,Feature,ImprovementComponentTypeOtherDescription,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/IMPROVEMENTS/IMPROVEMENT/PROPERTY_UNITS/PROPERTY_UNIT/INTERIOR_COMPONENTS/INTERIOR_COMPONENT/INTERIOR_COMPONENT_DETAIL/,ImprovementType (%RV1%),,,,
0700.0050,ApproximateCeilingHeightType,UAD1154,Provide the approximate ceiling height(s) for the living unit.,"If ImprovementComponentType = ""WallsAndCeiling"" and (at least one instance of CEILING_HEIGHT is not provided or ApproximateCeilingHeightType is not provided in a given instance of CEILING_HEIGHT)",Fatal,Subject,Unit Interior,Quality and Condition,Detail,ApproximateCeilingHeightType,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/IMPROVEMENTS/IMPROVEMENT/PROPERTY_UNITS/PROPERTY_UNIT/INTERIOR_COMPONENTS/INTERIOR_COMPONENT/WALLS_AND_CEILING/CEILING_HEIGHTS/CEILING_HEIGHT/,ImprovementType (%RV1%),,,,
0700.0043,ImprovementComponentTypeAdditionalDescription,UAD1155,Provide additional description for the interior feature being referenced.,"If ImprovementComponentType = ""Other"" and ImprovementComponentTypeAdditionalDescription is not provided in a given instance of INTERIOR_COMPONENT_DETAIL",Warning,Subject,Unit Interior,Quality and Condition,Detail,ImprovementComponentTypeAdditionalDescription,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/IMPROVEMENTS/IMPROVEMENT/PROPERTY_UNITS/PROPERTY_UNIT/INTERIOR_COMPONENTS/INTERIOR_COMPONENT/INTERIOR_COMPONENT_DETAIL/,ImprovementType (%RV1%),,,,
0700.0045,ImprovementComponentConditionStatusType,UAD1156,Provide the 'Condition Status'.,"If ImprovementComponentType = ""WallsAndCeiling"" or ""Other"", and ImprovementComponentConditionStatusType is not provided in a given instance of INTERIOR_COMPONENT_DETAIL",Fatal,Subject,Unit Interior,Quality and Condition,Condition Status,ImprovementComponentConditionStatusType,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/IMPROVEMENTS/IMPROVEMENT/PROPERTY_UNITS/PROPERTY_UNIT/INTERIOR_COMPONENTS/INTERIOR_COMPONENT/INTERIOR_COMPONENT_DETAIL/,ImprovementType (%RV1%),,,,
0700.0058,CornerUnitIndicator,UAD1157,Indicate whether the subject property is a corner unit.,"If StructuralDesignType = ""Lowrise"" or ""Highrise"" or ""Midrise"", and CornerUnitIndicator is not provided in a given instance of PROPERTY_UNIT_DETAIL",Fatal,Subject,Unit Interior,{No Subsection},Corner Unit,CornerUnitIndicator,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/IMPROVEMENTS/IMPROVEMENT/PROPERTY_UNITS/PROPERTY_UNIT/PROPERTY_UNIT_DETAIL/,,,,,
0700.0060,FloorIdentifier,UAD1158,Provide the 'Floor Number'.,"If ImprovementType = ""Dwelling"" and AttachmentType = ""Attached"" and StructuralDesignType = (""Lowrise"" or ""Highrise"" or ""Midrise""), and FloorIdentifier is not provided in a given instance of PROPERTY_UNIT_DETAIL",Fatal,Subject,Unit Interior,{No Subsection},Floor Number,FloorIdentifier,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/IMPROVEMENTS/IMPROVEMENT/PROPERTY_UNITS/PROPERTY_UNIT/PROPERTY_UNIT_DETAIL/,,,,,
0700.0065,UnitIncludedInRentScheduleIndicator,UAD1159,Indicate whether the living unit is included in the rent schedule.,"If (ImprovementType = ""Dwelling"" and RentScheduleIndicator = ""true"") or (ImprovementType = ""Outbuilding"" and OutbuildingRealPropertyIndicator = ""true"" and AccessoryDwellingUnitIndicator = ""true"" and RentScheduleIndicator = ""true"") , and UnitIncludedInRentScheduleIndicator is not provided in a given instance of PROPERTY_UNIT_DETAIL",Fatal,Subject,Does Not Display,Does Not Display,Does Not Display,UnitIncludedInRentScheduleIndicator,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/IMPROVEMENTS/IMPROVEMENT/PROPERTY_UNITS/PROPERTY_UNIT/PROPERTY_UNIT_DETAIL/,ImprovementType (%RV1%),,,,
0700.0066,InteriorConditionRatingCode,UAD1160,Provide the interior condition rating.,"If (ImprovementType = ""Dwelling"") 
or (ImprovementType = ""Outbuilding"" and OutbuildingRealPropertyIndicator = ""true"" and AccessoryDwellingUnitIndicator = ""true""), and InteriorConditionRatingCode is not provided in a given instance of PROPERTY_UNIT_DETAIL",Fatal,Subject,Unit Interior,Quality and Condition,Interior Condition Rating,InteriorConditionRatingCode,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/IMPROVEMENTS/IMPROVEMENT/PROPERTY_UNITS/PROPERTY_UNIT/PROPERTY_UNIT_DETAIL/,ImprovementType (%RV1%),,,,
0700.0067,InteriorQualityRatingCode,UAD1161,Provide the interior quality rating.,"If (ImprovementType = ""Dwelling"") 
OR (ImprovementType = ""Outbuilding"" and OutbuildingRealPropertyIndicator = ""true"" and AccessoryDwellingUnitIndicator = ""true""), and InteriorQualityRatingCode is not provided in a given instance of PROPERTY_UNIT_DETAIL",Fatal,Subject,Unit Interior,Quality and Condition,Interior Quality Rating,InteriorQualityRatingCode,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/IMPROVEMENTS/IMPROVEMENT/PROPERTY_UNITS/PROPERTY_UNIT/PROPERTY_UNIT_DETAIL/,ImprovementType (%RV1%),,,,
0700.0072,UtilitiesMeteredSeparatelyIndicator,UAD1162,Indicate whether the living unit utilities are metered separately.,"If (LivingUnitExcludingADUCount > 1 or AccessoryDwellingUnitTotalCount > 0), and UtilitiesMeteredSeparatelyIndicator is not provided in a given instance of PROPERTY_UNIT_DETAIL",Warning,Subject,Unit Interior,{No Subsection},Utilities Separately Metered,UtilitiesMeteredSeparatelyIndicator,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/IMPROVEMENTS/IMPROVEMENT/PROPERTY_UNITS/PROPERTY_UNIT/PROPERTY_UNIT_DETAIL/,ImprovementType (%RV1%),,,,
0700.0088,AccessoryDwellingUnitTypicalToMarketIndicator,UAD1163,Indicate whether ADUs are typical to the market.,"If AccessoryDwellingUnitIndicator = ""true"" and AccessoryDwellingUnitTypicalToMarketIndicator is not provided in a given instance of PROPERTY_UNIT_DETAIL",Fatal,Subject,Unit Interior,{No Subsection},Typical for Market,AccessoryDwellingUnitTypicalToMarketIndicator,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/IMPROVEMENTS/IMPROVEMENT/PROPERTY_UNITS/PROPERTY_UNIT/PROPERTY_UNIT_DETAIL/,ImprovementType (%RV1%),,,,
0700.0089,AccessoryDwellingUnitIndicator,UAD1164,Indicate whether the living unit is an ADU.,if AccessoryDwellingUnitIndicator is not provided in a given instance of PROPERTY_UNIT_DETAIL when STRUCTURE_DETAIL/LivingUnitCount > 0,Fatal,Subject,Unit Interior,{No Subsection},ADU,AccessoryDwellingUnitIndicator,../VALUATION_ANALYSIS/PROPERTIES/PROPERTY/IMPROVEMENTS/IMPROVEMENT/PROPERTY_UNITS/PROPERTY_UNIT/PROPERTY_UNIT_DETAIL/,ImprovementType (%RV1%),,,,
